1711084619	22.3 C
1711084625	22.4 C
1711084631	22.4 C
1711084637	22.4 C
1711084643	22.4 C
1711084649	22.4 C
1711084655	22.4 C
1711084661	19.9 C
1711084667	18.2 C
1711084673	17.4 C
1711084678	16.8 C
1711084684	16.5 C
1711084690	16.2 C
1711084696	16.1 C
1711084702	15.9 C
1711084708	15.8 C
1711084714	15.8 C
1711084720	15.7 C
1711084726	15.7 C
1711084731	15.4 C
1711084737	15.3 C
1711084743	15.2 C
1711084749	15.2 C
1711084755	12.9 C
1711084761	9.8 C
1711084767	8.1 C
1711084773	7.1 C
1711084779	5.1 C
1711084784	6.0 C
1711084790	7.3 C
1711084796	8.5 C
1711084802	9.4 C
1711084808	10.3 C
1711084814	11.1 C
1711084819	11.7 C
1711084825	12.4 C
1711084831	12.9 C
1711084837	13.5 C
1711238008	22.1 C
1711238014	22.1 C
1711238020	22.1 C
1711238026	22.1 C
1711238032	22.1 C
1711238038	22.1 C
1711238044	22.1 C
1711238050	22.1 C
1711238056	22.1 C
1711238062	22.1 C
1711238068	22.1 C
1711238074	22.1 C
1711238080	22.1 C
1711238086	22.1 C
1711238092	22.1 C
1711238098	22.1 C
1711238104	22.2 C
1711238110	22.4 C
1711238116	22.6 C
1711238122	22.7 C
1711238127	22.8 C
1711238134	22.9 C
1711238140	23.0 C
1711238146	23.1 C
1711238152	23.1 C
1711238158	23.1 C
1711238163	23.1 C
1711238169	23.1 C
1711238175	23.2 C
1711238181	23.2 C
1711238187	23.2 C
1711238193	23.2 C
1711238200	23.2 C
1711238205	23.3 C
1711238211	23.3 C
1711238217	23.3 C
1711238223	23.3 C
1711238229	23.2 C
1711238235	23.2 C
1711238241	23.2 C
1711238247	23.3 C
1711238253	23.3 C
1711238259	23.3 C
1711238265	23.4 C
1711238271	23.3 C
1711238277	23.4 C
1711238283	23.3 C
1711238289	23.4 C
1711238295	23.4 C
1711238301	23.2 C
1711238307	23.2 C
1711238313	23.2 C
1711238318	23.2 C
1711238324	23.2 C
1711238331	23.0 C
1711238337	23.1 C
1711238343	23.1 C
1711238349	25.2 C
1711238354	27.4 C
1711238360	28.8 C
1711238366	29.7 C
1711238372	30.3 C
1711238378	29.7 C
1711238384	28.3 C
1711742136	20.0 C
1711742142	20.1 C
1711742147	20.1 C
1711742153	20.1 C
1711742159	20.1 C
1711742165	20.1 C
1711742171	20.1 C
1711742177	20.1 C
1711742183	20.1 C
1711742189	20.1 C
1711742195	20.1 C
1711742201	20.1 C
1711742207	20.1 C
1711742213	20.1 C
1711742219	20.1 C
