1711084619	22.3 C
1711084625	22.4 C
1711084631	22.4 C
1711084637	22.4 C
1711084643	22.4 C
1711084649	22.4 C
1711084655	22.4 C
1711084661	19.9 C
1711084667	18.2 C
1711084673	17.4 C
1711084678	16.8 C
1711084684	16.5 C
1711084690	16.2 C
1711084696	16.1 C
1711084702	15.9 C
1711084708	15.8 C
1711084714	15.8 C
1711084720	15.7 C
1711084726	15.7 C
1711084731	15.4 C
1711084737	15.3 C
1711084743	15.2 C
1711084749	15.2 C
1711084755	12.9 C
1711084761	9.8 C
1711084767	8.1 C
1711084773	7.1 C
1711084779	5.1 C
1711084784	6.0 C
1711084790	7.3 C
1711084796	8.5 C
1711084802	9.4 C
1711084808	10.3 C
1711084814	11.1 C
1711084819	11.7 C
1711084825	12.4 C
1711084831	12.9 C
1711084837	13.5 C
